+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                   ;
+---------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                               ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; NiosII|ki_s1_translator                                                                                 ; 116   ; 7              ; 33           ; 7              ; 70     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|kp_s1_translator                                                                                 ; 116   ; 7              ; 33           ; 7              ; 70     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|pio_x2_output_init_8_s1_translator                                                               ; 116   ; 7              ; 33           ; 7              ; 36     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|pio_x1_output_init_7_s1_translator                                                               ; 116   ; 7              ; 33           ; 7              ; 36     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_pixel_buffer_avalon_control_slave_translator                                                 ; 116   ; 7              ; 30           ; 7              ; 74     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|av_config_avalon_av_config_slave_translator                                                      ; 116   ; 6              ; 30           ; 6              ; 74     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_char_buffer_avalon_char_buffer_slave_translator                                              ; 63    ; 6              ; 19           ; 6              ; 35     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_char_buffer_avalon_char_control_slave_translator                                             ; 116   ; 7              ; 31           ; 7              ; 74     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|sram_avalon_sram_slave_translator                                                                ; 81    ; 6              ; 12           ; 6              ; 58     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|sysid_control_slave_translator                                                                   ; 116   ; 7              ; 31           ; 7              ; 35     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|jtag_uart_avalon_jtag_slave_translator                                                           ; 116   ; 6              ; 34           ; 6              ; 70     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|sdram_s1_translator                                                                              ; 116   ; 5              ; 7            ; 5              ; 98     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_jtag_debug_module_translator                                                                 ; 116   ; 6              ; 23           ; 6              ; 82     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_pixel_buffer_avalon_pixel_dma_master_translator                                              ; 66    ; 22             ; 2            ; 22             ; 56     ; 22              ; 22            ; 22              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_data_master_translator                                                                       ; 114   ; 16             ; 0            ; 16             ; 108    ; 16              ; 16            ; 16              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_instruction_master_translator                                                                ; 113   ; 56             ; 2            ; 56             ; 109    ; 56              ; 56            ; 56              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|kd                                                                                               ; 38    ; 22             ; 22           ; 22             ; 42     ; 22              ; 22            ; 22              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|ki                                                                                               ; 38    ; 22             ; 22           ; 22             ; 42     ; 22              ; 22            ; 22              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|kp                                                                                               ; 38    ; 22             ; 22           ; 22             ; 42     ; 22              ; 22            ; 22              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|pio_x2_output_init_8                                                                             ; 20    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|pio_x1_output_init_7                                                                             ; 20    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|external_clocks|DE_Clock_Generator_Audio|auto_generated                                          ; 2     ; 1              ; 0            ; 1              ; 7      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|external_clocks|DE_Clock_Generator_System|auto_generated                                         ; 2     ; 1              ; 0            ; 1              ; 7      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|external_clocks                                                                                  ; 3     ; 0              ; 1            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|sysid                                                                                            ; 3     ; 12             ; 2            ; 12             ; 32     ; 12              ; 12            ; 12              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu                                                                                              ; 149   ; 0              ; 31           ; 0              ; 131    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|alpha_blending|alpha_blender|b_times_one_minus_alpha|auto_generated                              ; 18    ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|alpha_blending|alpha_blender|g_times_one_minus_alpha|auto_generated                              ; 18    ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|alpha_blending|alpha_blender|r_times_one_minus_alpha|auto_generated                              ; 18    ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|alpha_blending|alpha_blender|b_times_alpha|auto_generated                                        ; 18    ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|alpha_blending|alpha_blender|g_times_alpha|auto_generated                                        ; 18    ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|alpha_blending|alpha_blender|r_times_alpha|auto_generated                                        ; 18    ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|alpha_blending|alpha_blender                                                                     ; 70    ; 0              ; 7            ; 0              ; 30     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|alpha_blending                                                                                   ; 79    ; 0              ; 2            ; 0              ; 35     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_dual_clock_fifo|Data_FIFO|auto_generated|wrfull_eq_comp_msb_mux                              ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_dual_clock_fifo|Data_FIFO|auto_generated|wrfull_eq_comp_lsb_mux                              ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_dual_clock_fifo|Data_FIFO|auto_generated|rdemp_eq_comp_msb_mux                               ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_dual_clock_fifo|Data_FIFO|auto_generated|rdemp_eq_comp_lsb_mux                               ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_dual_clock_fifo|Data_FIFO|auto_generated|wrfull_eq_comp_msb                                  ; 8     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_dual_clock_fifo|Data_FIFO|auto_generated|wrfull_eq_comp_lsb                                  ; 8     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_dual_clock_fifo|Data_FIFO|auto_generated|wrfull_eq_comp1_msb                                 ; 8     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_dual_clock_fifo|Data_FIFO|auto_generated|wrfull_eq_comp1_lsb                                 ; 8     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_dual_clock_fifo|Data_FIFO|auto_generated|rdempty_eq_comp_msb                                 ; 8     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_dual_clock_fifo|Data_FIFO|auto_generated|rdempty_eq_comp_lsb                                 ; 8     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_dual_clock_fifo|Data_FIFO|auto_generated|rdempty_eq_comp1_msb                                ; 8     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_dual_clock_fifo|Data_FIFO|auto_generated|rdempty_eq_comp1_lsb                                ; 8     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_dual_clock_fifo|Data_FIFO|auto_generated|ws_dgrp|dffpipe16                                   ; 9     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_dual_clock_fifo|Data_FIFO|auto_generated|ws_dgrp                                             ; 9     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_dual_clock_fifo|Data_FIFO|auto_generated|ws_bwp                                              ; 9     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_dual_clock_fifo|Data_FIFO|auto_generated|ws_brp                                              ; 9     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_dual_clock_fifo|Data_FIFO|auto_generated|rs_dgwp|dffpipe12                                   ; 9     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_dual_clock_fifo|Data_FIFO|auto_generated|rs_dgwp                                             ; 9     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_dual_clock_fifo|Data_FIFO|auto_generated|fifo_ram                                            ; 50    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_dual_clock_fifo|Data_FIFO|auto_generated|wrptr_g1p                                           ; 2     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_dual_clock_fifo|Data_FIFO|auto_generated|rdptr_g1p                                           ; 2     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_dual_clock_fifo|Data_FIFO|auto_generated|ws_dgrp_gray2bin                                    ; 8     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_dual_clock_fifo|Data_FIFO|auto_generated|wrptr_g_gray2bin                                    ; 8     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_dual_clock_fifo|Data_FIFO|auto_generated                                                     ; 36    ; 0              ; 0            ; 0              ; 40     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_dual_clock_fifo                                                                              ; 38    ; 0              ; 2            ; 0              ; 34     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_pixel_rgb_resampler                                                                          ; 14    ; 0              ; 0            ; 0              ; 34     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_controller|VGA_Timing                                                                        ; 30    ; 0              ; 1            ; 0              ; 39     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_controller                                                                                   ; 35    ; 0              ; 7            ; 0              ; 30     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_char_buffer|Character_Rom|character_data_rom|auto_generated                                  ; 15    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_char_buffer|Character_Rom                                                                    ; 15    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_char_buffer|Char_Buffer_Memory|auto_generated                                                ; 47    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_char_buffer                                                                                  ; 68    ; 1              ; 1            ; 1              ; 84     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_pixel_buffer|Image_Buffer|auto_generated|dpfifo|wr_ptr                                       ; 3     ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_pixel_buffer|Image_Buffer|auto_generated|dpfifo|usedw_counter                                ; 4     ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_pixel_buffer|Image_Buffer|auto_generated|dpfifo|rd_ptr_msb                                   ; 3     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_pixel_buffer|Image_Buffer|auto_generated|dpfifo|three_comparison                             ; 14    ; 7              ; 0            ; 7              ; 1      ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_pixel_buffer|Image_Buffer|auto_generated|dpfifo|almost_full_comparer                         ; 14    ; 7              ; 0            ; 7              ; 1      ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_pixel_buffer|Image_Buffer|auto_generated|dpfifo|FIFOram                                      ; 26    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_pixel_buffer|Image_Buffer|auto_generated|dpfifo                                              ; 14    ; 0              ; 0            ; 0              ; 19     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_pixel_buffer|Image_Buffer|auto_generated                                                     ; 14    ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_pixel_buffer                                                                                 ; 53    ; 0              ; 0            ; 0              ; 77     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|sram                                                                                             ; 42    ; 0              ; 0            ; 0              ; 42     ; 0               ; 0             ; 0               ; 16    ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|av_config|Serial_Bus_Controller|Serial_Config_Clock_Generator                                    ; 3     ; 1              ; 0            ; 1              ; 3      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|av_config|Serial_Bus_Controller                                                                  ; 116   ; 84             ; 0            ; 84             ; 30     ; 84              ; 84            ; 84              ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|av_config|Auto_Init_OB_Devices_ROM|Auto_Init_Video_ROM                                           ; 6     ; 3              ; 0            ; 3              ; 27     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|av_config|Auto_Init_OB_Devices_ROM|Auto_Init_Audio_ROM                                           ; 6     ; 12             ; 0            ; 12             ; 27     ; 12              ; 12            ; 12              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|av_config|Auto_Init_OB_Devices_ROM                                                               ; 6     ; 0              ; 0            ; 0              ; 27     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|av_config|AV_Config_Auto_Init                                                                    ; 32    ; 1              ; 0            ; 1              ; 36     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|av_config                                                                                        ; 42    ; 0              ; 22           ; 0              ; 34     ; 0               ; 0             ; 0               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|sdram|the_nios_system_SDRAM_input_efifo_module                                                   ; 66    ; 0              ; 0            ; 0              ; 66     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|sdram                                                                                            ; 66    ; 1              ; 1            ; 1              ; 58     ; 1               ; 1             ; 1               ; 32    ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|jtag_uart|the_nios_system_JTAG_UART_scfifo_r|rfifo|auto_generated|dpfifo|wr_ptr                  ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|jtag_uart|the_nios_system_JTAG_UART_scfifo_r|rfifo|auto_generated|dpfifo|rd_ptr_count            ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|jtag_uart|the_nios_system_JTAG_UART_scfifo_r|rfifo|auto_generated|dpfifo|FIFOram|altsyncram1     ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|jtag_uart|the_nios_system_JTAG_UART_scfifo_r|rfifo|auto_generated|dpfifo|FIFOram                 ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|jtag_uart|the_nios_system_JTAG_UART_scfifo_r|rfifo|auto_generated|dpfifo|fifo_state|count_usedw  ; 5     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|jtag_uart|the_nios_system_JTAG_UART_scfifo_r|rfifo|auto_generated|dpfifo|fifo_state              ; 5     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|jtag_uart|the_nios_system_JTAG_UART_scfifo_r|rfifo|auto_generated|dpfifo                         ; 13    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|jtag_uart|the_nios_system_JTAG_UART_scfifo_r|rfifo|auto_generated                                ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|jtag_uart|the_nios_system_JTAG_UART_scfifo_r                                                     ; 13    ; 0              ; 1            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|jtag_uart|the_nios_system_JTAG_UART_scfifo_w|wfifo|auto_generated|dpfifo|wr_ptr                  ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|jtag_uart|the_nios_system_JTAG_UART_scfifo_w|wfifo|auto_generated|dpfifo|rd_ptr_count            ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|jtag_uart|the_nios_system_JTAG_UART_scfifo_w|wfifo|auto_generated|dpfifo|FIFOram|altsyncram1     ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|jtag_uart|the_nios_system_JTAG_UART_scfifo_w|wfifo|auto_generated|dpfifo|FIFOram                 ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|jtag_uart|the_nios_system_JTAG_UART_scfifo_w|wfifo|auto_generated|dpfifo|fifo_state|count_usedw  ; 5     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|jtag_uart|the_nios_system_JTAG_UART_scfifo_w|wfifo|auto_generated|dpfifo|fifo_state              ; 5     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|jtag_uart|the_nios_system_JTAG_UART_scfifo_w|wfifo|auto_generated|dpfifo                         ; 13    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|jtag_uart|the_nios_system_JTAG_UART_scfifo_w|wfifo|auto_generated                                ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|jtag_uart|the_nios_system_JTAG_UART_scfifo_w                                                     ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|jtag_uart                                                                                        ; 38    ; 10             ; 23           ; 10             ; 34     ; 10              ; 10            ; 10              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII                                                                                                  ; 35    ; 0              ; 0            ; 0              ; 111    ; 0               ; 0             ; 0               ; 49    ; 0              ; 0            ; 0                ; 0                 ;
+---------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
